========================================================================================================================
OmniContact 切模式转化全过程密集调试日志 (Dense Step-by-Step Transition Log)
当前运行版本: 【加入余弦缓动过渡与历史首帧广播后 (AFTER - 平稳无跳动)】
========================================================================================================================
Step | 时间(s) | 缓动权重(α) | 左膝实际角 -> 发令角 (阶跃差ΔQ) | 左髋实际角 -> 发令角 (阶跃差ΔQ) | 发令 Kp | 脚踝Z轴帧差速度
------------------------------------------------------------------------------------------------------------------------
   0 |   0.00s |       0.000 |  0.424 ->  0.424 (Δ= +0.00°) | -0.202 -> -0.202 (Δ= +0.00°) |  200.00 |    +0.00 m/s
   1 |   0.02s |       0.004 |  0.445 ->  0.423 (Δ= -1.30°) | -0.206 -> -0.199 (Δ= +0.44°) |  199.60 |    -0.01 m/s
   2 |   0.04s |       0.016 |  0.453 ->  0.419 (Δ= -1.93°) | -0.204 -> -0.191 (Δ= +0.75°) |  198.41 |    -0.01 m/s
   3 |   0.06s |       0.035 |  0.454 ->  0.412 (Δ= -2.36°) | -0.200 -> -0.179 (Δ= +1.18°) |  196.46 |    -0.01 m/s
   4 |   0.08s |       0.062 |  0.453 ->  0.403 (Δ= -2.89°) | -0.193 -> -0.162 (Δ= +1.74°) |  193.76 |    +0.00 m/s
   5 |   0.10s |       0.095 |  0.451 ->  0.391 (Δ= -3.44°) | -0.183 -> -0.141 (Δ= +2.42°) |  190.36 |    +0.00 m/s
   6 |   0.12s |       0.136 |  0.449 ->  0.378 (Δ= -4.07°) | -0.169 -> -0.115 (Δ= +3.09°) |  186.33 |    +0.00 m/s
   7 |   0.14s |       0.181 |  0.444 ->  0.359 (Δ= -4.91°) | -0.151 -> -0.088 (Δ= +3.63°) |  181.71 |    -0.00 m/s
   8 |   0.16s |       0.232 |  0.439 ->  0.338 (Δ= -5.76°) | -0.130 -> -0.063 (Δ= +3.86°) |  176.58 |    +0.00 m/s
   9 |   0.18s |       0.287 |  0.431 ->  0.314 (Δ= -6.71°) | -0.105 -> -0.035 (Δ= +4.01°) |  171.03 |    -0.00 m/s
  10 |   0.20s |       0.345 |  0.421 ->  0.291 (Δ= -7.41°) | -0.078 -> -0.007 (Δ= +4.10°) |  165.14 |    -0.00 m/s
